,종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
305,참좋은여행,2020.10.29,3.2,3.0,“여행사 중에서는 복지를 위해 노력하는 회사”,타 여행사와 비교했을때에 그나마 직원들을 생각하려고 노력하는 회사,"비수기에 연차 소진해야함 연차, 반차 사용시 눈치를 많이 줌",
306,참좋은여행,2020.10.28,3.2,4.0,"“좋은 분위기, 최고의 워라밸”","경영진의 마인드가 나쁘지 않은 편
워라밸 보장은 확실함(야근 한적이 하루도 없음, 다른 부서는 하는 곳도 있는거 같긴 함)","업계 최고수준이라곤 하지만 많이 부족한 연봉
영업직군 한정 높은 퇴사율",
307,참좋은여행,2020.10.26,3.2,4.0,“팀마다 다를 수 있지만 저는 만족해요”,상황에 따라 다르겠지만 1년에 1~2번 정도는 해외 출장을 가서 좋음. 우리팀은 나름 칼퇴하는 편. 소통하는 경영진. 열심히 하는 만큼 주어지는 인센.,연차 못쓰게 할 때 있음. 당직 급여 너무 짬. 우리팀은 아니지만 다른팀은 꼰대 상사 때문에 힘들어하는 동기 봄.,
308,참좋은여행,2020.10.20,3.2,3.0,“소통이 자유로운 회사”,윗사람들과 자유로운 소통을 통해 의사결정가능하나 윗사람들에 의해서 결국 나중에 바뀜,"잦은회의/ 영업과 비영업의 처우, 코로나로 인한 업무의 한계. ㅑ",
309,참좋은여행,2020.10.15,3.2,5.0,“나는 우리 회사 만족”,타사 얘기 들어보면 일하는 건 다 비슷한 거 같은데 회사가 직원들 생각해주고 신경 써주는게 느껴짐,참좋은이라서 힘든 점은 아닌데 고객 응대... 그리고 엘베 줄 서는 거?,
310,참좋은여행,2020.10.14,3.2,3.0,“팀 잘만나면 회사 다니는데 평타 치지만 업무 특성상 주말이 불안함”,팀을 잘만나서 배운 것도 많고 각 담당 상품이 있다보니 업무에 책임감이 생긴다.,언제 일터질지 모르는 불안함 주말에 전화올지 모르는 불안함 아침 출발은 새벽에 전화오는거 극혐,
311,참좋은여행,2020.10.07,3.2,3.0,“많이 개선된 문화 팀바팀”,"팀내 문화가 많이 개선됨 예전에는 신입이 연차쓰는건 있을 수 없는 일이었음
가끔 나오는 인센이 삶의 희망","성수기 시즌 늦은 퇴근
타 업계 대비 짠 연봉...그래도 여행업계에서는 많이줌",
312,참좋은여행,2020.10.04,3.2,3.0,“쉴시간없이 바쁜회사”,1년에 한 번 담당부서지역으로 출장 보내줘서 그건 좀 괜찮음,"쉬는시간 없이 너무 바쁘고, 야근이 많아서 힘들다 6시 퇴근이란 절대 없음",
313,참좋은여행,2020.09.17,3.2,2.0,“많은 업무량”,영업직은 해외출장보내줘서 그건 최고의 복지라고 생각함..,"일은 하는사람만 함, 직급 높아지면 장땡(대리이상 일안함)
업무량에 비해 연봉이 낮음",
314,참좋은여행,2020.09.17,3.2,3.0,“압박이 큰 회사..”,"가끔 나오는 보너스?
소소한 이벤트와 좋은 대표님..
아래 실무진은 참 좋음.","너무 많아서..꼰대 문화 극강.
답답한 사무실 근무 분위기...숨이 막힘..
너무 많은 근무량",
315,참좋은여행,2020.09.15,3.2,3.0,“많은 걸 경험하게 해준 회사”,"1. 연 내 주어지는 해외출장
2. 쏠쏠한 인센티브
3. 지하철역과 가까움","1. 전화가 많을 땐 다른일과 병행이 어려움. 이어지는 야근
2. 연차사용 눈치봐야함",
316,참좋은여행,2020.09.15,3.2,4.0,“그냥저냥 ”,같이 일하는 사람들이 좋다. 여행업일은 아주 꼼꼼히 처음부터 다 배울수 있는곳,아침에 줄서서 입장해야 하는곳 빼고는 딱히 없는것 같다,
317,참좋은여행,2020.09.11,3.2,4.0,“여행업을 제대로 경험할 수 있는 곳”,"소소한 복지, 동료, 나름 넉넉한 점심시간, 월급 날짜 맞춰 들어오고 소소한 인센","과다 업무(콜센터인지 모르겠음), 떠넘기기식 업무
피씨오프 프로그램이 있지만 솔직히 있는건지 없는건지 모르겠음.",
318,참좋은여행,2020.09.02,3.2,4.0,“좋은 직원들과 으쌰으쌰 일 하는 분위기”,"일한만큼 인센과 성과를 두둑히 주셔서
일하면서 힘들었던게 사르르 녹음
직원들이 대체적으로 착함
워라밸 지켜지는 편
물론 일이 힘들지만 보람차고 즐거움","낮은 기본급과 연봉 상승률
인센도 받기 힘들어짐
점점 사라지는 소소한 복지
점점 높아지는 목표
여행업의 불안정성",
319,참좋은여행,2020.08.31,3.2,3.0,"“나쁘지도,좋지도않은 회사”","직원들 잘 챙겨주려고하는듯
보너스때메 모든 스트레스를 참을수있음","팀바팀이겠지만
퇴근눈치 실적압박 자유롭지못한연차사용 등등.
사람스트레스가 제일 큼
오래남아있어야 일 잘하는줄앎..
회사는커가는데 사내문화는 그걸 못따라가는 듯한..",
320,참좋은여행,2020.08.30,3.2,4.0,“동종업계에서는 나름 괜찮은 회사”,"박봉인 여행업계중에서 그나마 괜찮은 연봉
인센티브 잘 나옴
1년에 출장 한번씩은 꼭 보내줌","전화업무량 너무 많음...
연차 사용 자유롭다고는 하나 실질적으로는 자유로운편은 아님",
321,참좋은여행,2020.08.24,3.2,3.0,“타사보다 좋은 회사 ”,"소소하게 잘 챙겨줌 (사내이벤트,인센티브 등)
임원 마인드가 타사보다는 직원 많이 생각해줌","개인적인 업무 문화 (내껀내꺼,니껀니꺼)
일을 적게하던 많이하던 호봉 같으면 월급,인센 똑같음",
322,참좋은여행,2020.08.20,3.2,3.0,“그냥저냥”,소소하게 잘챙겨줌 급여야 인센도많아서 좋음 사내분위기도 여행사중엔 괜찮은편,진급이 어마무시하게느리고 체계가 잘 잡혀있지않은 주먹구구식,
323,참좋은여행,2020.08.18,3.2,4.0,“괜찮은 회사”,"다른 여행사보다 급여나 인센티브가 높고, 경영진 마인드가 좋다.",고객의 컴플레인 대부분을 직접 해결해야 한다는 점이 어렵다.,
324,참좋은여행,2020.08.17,3.2,3.0,“기준이 애매모호한 회사?”,"줄땐주는 성과급과 회식이 많이 없는편,소소한 직원 직원 이벤트를 좋아함","마케팅이 약함,진급의 기준이 애매함,직원을 생각해주는듯 아닌듯,내로남불 경영",
325,참좋은여행,2020.08.16,3.2,4.0,“여행사중에선 갑”,"잘벌때 인센을 잘준다, 회사가 자금이 많아 폐업하진않을것같다",팀마다 다르겠지만 특정팀은 텃세가쎄다. 다른단점은 크게없다,
326,참좋은여행,2020.08.15,3.2,1.0,“빽이 있어야 하는 회사”,"1.빽만 있으면 업무를 못해도 연봉 상승 및 승진
2.상여금
3.윗 사람과의 불통으로 일하다 답답해서 이직하게 됨","1.일 못하고 말 못알아듣는 윗사람들이 있음
2.말 전하는 중간급 관리자들이 있음(하는업무 : 이간질)
3.그 밑에서 버티면 다른 동종업계에서 대우해줌
4.말없이 잠수타게 만드는 회사","줄타기 못해서
이간질 적응 못해서
알랑방구 못 뀌고 상사들의 잘못한 점 눈 못감아줘서"
327,참좋은여행,2020.08.14,3.2,1.0,“군대식 문화의 표본”,"시청역 11번출구 바로 앞이다
인센과 가끔 상품권이 나온다","1. 군대식 문화를 강요하며
남자는 뭐든 윗사람이 하는걸 함께하길 강요받으며
여자는 뭐를하든 뭐를입든 평가받는 대상이다
2. 업무시간에 업무를 마치고 퇴근하면 엄청난 불이익들이 돌아오고, 업무시간에 업무를 하지않고 야근을하면 그 이상의 혜택들이 주어진다",
328,참좋은여행,2020.08.11,3.2,3.0,“워라벨 따위”,"동기사랑 나라사랑
없었으면 이미 퇴사했음
굳이 하나더하면 내임 벨류","고인물들 나무 많음
높은 업무강도(야근포함)
상사의 실시간 업무터치(제발좀)",
329,참좋은여행,2020.08.08,3.2,4.0,“여행업 전반적 업무를 배울수있다”,직원에게 배풀려고 하는 회사 일한만큼 챙겨주기위해 노력한다,한사람이 감당해야하는 없무가 많다 일하는사람 안하는 사람 나눠져있다,
330,참좋은여행,2020.08.08,3.2,2.0,“군대식 조직문화 그리고 주먹구구식 운영”,지하철 역 앞 위치 블루투스 이어폰 지급 정도 가끔 나오는 인센,"군대식 상하관계
위애서부터 내려오는 좋지 않은 말과 행동들을 중간에서 똑같이 배워 악습이 반복되는곳
발전이 없는곳 단기적인 운영성과 중심",
331,바이오톡스텍,2022.09.20,2.4,1.0,“월급제때들어옴”,월급제때들어옴. 고인물 차고넘침. 학술적 수준은 마이너스인 애들이 회사 돌아가는것만 겨우 안다고 엄청난 갑질 함.,"무슨 전공을 했든, 그 전공과 관련없는 부서로 배치됨 고인물들 대잔치 여기서만은 고졸출신이어도 회사 경력만 많으면 교수까지도 가르치려 드는 수준",
332,바이오톡스텍,2022.08.29,2.4,3.0,“더이상 발전은 없는 회사”,"다양한 복지를 많이 시도함(주말 회사차 대여, 연수원 대여 등)
팀바팀 워라밸 좋은 곳도 있음
전체적으로 젊은 사람들이 많아서 꼰대 분위기는 없음
업무 스킬을 배우기 좋음
초봉이 중소치곤 높음
교육 기간이 길어 신입이 차근차근 일 배울 수 있음(3개월가량)","일이 개많아서 스킬이 늘지 않을 수 없음..
그 스킬 배우는게 전부임. 연구를 하지 않고 수탁만 하고 있어서 더 성장하기는 힘들듯. 코로나빨도 이제 슬슬 떨어져가는 것 같고...
경영진 마인드는 '너 나가면 또 뽑으면 됨~' 이런 느낌... 직원을 소중히 생각하지 않음. 신입도 아니고 4~5년차면 신경쓸만도한데 책임자급 아니면 언제든지 대체 가능하다고 생각하는듯.
기술직쪽은 동물 때문에 주말에도 출근해야 함
직원보다도 고객이 너무너무 최우선임
연봉 인상률 진짜 낮음 어디가서 말하기 창피함
인상률이 너무 낮아서 중간급이 다 나가서 없음. 중간급이 좀 있어야 업무 분배가 잘 되는데 어떻게보면 중간급이 할일을 신입들이 나눠서 하고 있지...",
333,바이오톡스텍,2022.08.20,2.4,4.0,“지방산다면 다니기 나쁘지 않은 회사”,주말에 잠깐만 나와도 2시간 특근비 지급 이 부분은 확실히 좋다,포괄 임금제로 평일엔 야근해도 특근비 없습 팀 마다 다른데 평일 야근 자주하는 팀으로 갈 경우 특근비는 못 받으면서 야근 하게됨,
334,바이오톡스텍,2022.08.20,2.4,1.0,“CRO최고의 회사”,"월세 및 바우처 지급
내일채움가능
구내식당 있음
유니폼 있음
주차장 있음","주차창이 작음
월세 1년10만원 지급
유니폼 주머니..없어서 물건넣기 불가능",
335,바이오톡스텍,2022.07.20,2.4,1.0,“힘들어요..”,사내에서 지급되는 유니폼으로 옷 입는것을 걱정 안해도 됨. 식권이 15장이나 나와서 사내에서 식당과 밖에서 외식을 동시에 즐길수 있음. 로비에 커피와 우유 얼음 제공으로 무한으로 즐길수 있음.,석식신청 안하면 밥 없음. 대신 고오급빵 제공. 대신 늦으면 없음. 사람은 많이 뽑지만,
336,바이오톡스텍,2022.07.12,2.4,3.0,“그냥 그런 회사 ”,솔직히 말해서 장점은 없고 자기 하기에 나름인거같음 직급폐지 되면서 좋아진거같기도 하고 아닌거 같기도하고,소문이 진짜 말도안되게 과장이됨 어린사람들이 너무 많음 MZ세대라지만 너무함,
337,바이오톡스텍,2022.07.06,2.4,4.0,“성장하기 좋은 회사”,"최근 연봉 인상을 계속함
경쟁업체가 연봉은 인상하면서 경쟁업체로 이직하는 사람들이 많아짐
근데 여기도 올리니까 다시 돌아오겠다고 난리임ㅋㅋㅋㅋ","약한자는 살아남지 못함
여기 리뷰 작성자들 대부분 1~2개월 다니고 퇴사하는애들
입사 후 한달동안 glp교육 받는데 그게 힘들어서 나가는거임
근데 한달동안 앉아서 교육듣고 월급받는거 개꿀인디..",
338,바이오톡스텍,2022.07.05,2.4,3.0,“최근 좋아지고있음”,"연봉 많이 오른거..?많이오름.. 워라밸 보장되는 부서있음.
아닌 부서는 야근 매일매일함. 매일...","부서 바이 부서 워라밸 보장되는부서 있고.
주말 출근 계속해야하는 부서있음. 분위기도 다 달라서
아무리 좋아지고 있다 해도 연봉 더 올라야함..그만큼 사람을 갈아서 어느회사보다 제일힘듬...",
339,바이오톡스텍,2022.07.02,2.4,2.0,“스타트 괜춘. GLP 시스템 안맞음 고민될거야. 경영 운영부분은 좀 화나지”,"스타트하긴 괜찮음
CRO업계 내에선 인지도가 큼.
다양한 경험 축적.
직원 평균 세대가 어린편이라 분위기가 크게 무겁지 않음","적은인력으로 고효과 창출 강요.
GLP기관 특성상 고착화, 융통성 떨어짐
중간관리자가 없어 팀장, 이사급과의 갭이 매우 큼
경영 부분에서 많은 의구심이 드는 운영방침
경영에서 본부 실황 파악을 잘 못하는거 같음",
340,바이오톡스텍,2022.07.02,2.4,1.0,“최악의 회사”,장점 아무리 생각해 내려고 해도 못 찾겠다. 안 다녀본 사람들 눈엔 괜찮은 회사라고 생각이 들 수도 있겠다 딱 이 정도,높은 직급을 달고 본인의 일을 신입에게 시킴. 신입 교육 제대로 잡혀 있지 않고 시험만 봄. 계속 해서 신입만 들어옴 일의 능률이 오르지 않고 계속하여 제자리걸음.,
341,바이오톡스텍,2022.07.01,2.4,5.0,“최근 바꾸려는 긍정적시그널”,"1. 예전의 주먹구구식에서 탈피하려는 긍정적인 움직임이 있음
2. 안정적인 이익구조 형성
3. 초봉수준 높아짐","1. 조금 더 직원 친화적인 복지정책 시행
2. 너무 조용한 회사분위기",
342,바이오톡스텍,2022.06.21,2.4,2.0,“업무가 많은 회사”,"전체적으로 연령대가 어리다.
중소기업치고 규모가 크다.
최근 연봉인상이 되었다.","부서마다 다르지만 야근이 많은 곳은 많다.
동물 관련 실험 회사라서 거리낌이 있다.",
343,바이오톡스텍,2022.06.10,2.4,1.0,“가지마세요 그냥..”,"신입땐 좋아보이지만 다닐수록 아니다 싶음
최근 신입 연봉도 올려서 아주 기세가 등등하지만, 연차가 쌓여도 그돈이 그돈임
장점이라면, 겉으로 봐서는 그럴듯해보이는 회사, 분위기..","수의사 제외하고는 대우받지 못하는 분위기,
성과중심으로 평가한다고는 하나, 실제로는 위에서 시키는거 잘 하는것처럼 보여지는 사람만(윗사람 맘에 드는 일부 직원) 챙기고 있어서 오래 다닐만한 회사는 아님..","텃세, 적은 연봉, 독단적인 운영책임자, 직원에 관심없는 경영진"
344,바이오톡스텍,2022.05.30,2.4,1.0,“최악의 회사 부처라도 여긴 안참음”,각박한 세상에서 강하게 살아남을 수 있는 정신력을 기르게해줌 살면서 경험하지 못할 사람들을 여기서 다 만날 수 있음,"사람 아무나 뽑는건지 인간이길 포기한 상식밖에 사람들
많음 (이게 제일 단점임)


누굴위한 복지인지 모를 복지
직원<<<<<<<<<<<<<<외부인
내일채움공제하면 그만큼 연봉 잘안오름
안먹는게 날 정도로 맛없는밥
젊은 꼰대 많음
쥐꼬리만한 월급
돈되는 시험은 아무거나 받음 좀 가려받지
고지식한 꼰대도 많음
테스트가 끝도 없음
워라벨 보장 전혀 안됌
일하는 사람만 일함
나도 모르는 소문 돌아다니고
뒤에서 말 많이 나옴
주말, 공휴일 없는듯
특정부서 일 제대로 안해서 업무에 차질 생김
1년에 2번정도 돌아가면서 당직 세우면서 당직수당 2만원주고 밥도 제공안해줌 알아서 먹어야함
연차 산정 이상하게함
사람 귀한지 모름
대부분의 사람들이 내일채움공제 끝나거나 연차 쌓이면 대거 퇴사함 남은 사람들만 지옥
평소엔 신경도 안쓰면서 XX 나온다는 소리들리면
그제서야 가만히 있던 팀장, 과장들 난리치면서 밑에 사람들 닥달
노후된 기기 때문에 업무시 지장
밥먹듯이 고장나기 때문에 공무팀은 이 기기고치려고 존재한다는 말까지 나올 정도
정작 나가야할 사람들이 대거 붙어있는 회사
오죽하면 회사 오랜다닌 사람이 퇴사할거면 빨리하라고 알려주는 회사
체계없음 신입한테 새로들어온 신입 일을 모두 맡김

다닐수록 정신건강에 해로운회사 몸도 마음도 피폐해짐",
345,바이오톡스텍,2022.05.25,2.4,3.0,“아직까지는 괜찮다”,"팀마다 다르겠지만 사내 분위기 괜찮음
일 배우기는 좋음
자기일만 하면 됨
회식에서 술 강요안함","월급이 적음
일이 많음
면접질문이 까다로움
경영진은 잘 모름",
346,바이오톡스텍,2022.05.16,2.4,2.0,“힘든곳.. ”,어딜가도 살아남을 수 있게 된 달까나.. 이게좋은거지 나쁜건지.. 허허,건강 유지하기가 너무힘들다... 진짜로.. 지치지 않기 힘듬..,
347,바이오톡스텍,2022.05.15,2.4,1.0,“퇴사자 발생 = 신입으로 메꾸기^^”,"팀내 분위기 좋음, 사내 식당 보유, 작업환경 상대적 좋음","쥐꼬리 급여, 회사가 사람 귀한 줄 모름, 구시대적 경영마인드",
348,바이오톡스텍,2022.05.12,2.4,4.0,“애매함”,인원이 많아 거기서 배울 수 있는 여러가지들이 있음. 일배우기좋음,복지가 부족하고 체계가 없어 이제 시작중인 회사. 성장하려면 플러스가 필요함,
349,바이오톡스텍,2022.05.11,2.4,3.0,“사람들이 내일채움만 하고 나감”,"내일채움됨
구내식당
교육을 많이함
사람둘이 대부분 친절함
유류비 지원됨(서류 조작으로 오창에 살면서 받을 수도 있다고함. 직원들끼리 서류 조작 방법이 돌고 있을 정도:;;한직원은 그렇게 해서 2년동안 오창에 살면서 받고 있다고 자랑)","기계가 너무 노후 됨 ㅠ
직원들 자리 공간 부족:;;
2년만 채우고 다 나감",
350,바이오톡스텍,2022.05.10,2.4,1.0,“모든게 개차반인 회사”,월급 당일 지급. 이게 유일한 장점. 식비 하루 4천원. 반찬수준 감탄밖에안나옴,특정 부서만 업무 많음. 일 없는부서는 대충 일 많은척하기 좋음,
351,바이오톡스텍,2022.05.10,2.4,1.0,“워라밸이 보장되는 회사”,회사로부터 수주 받은 시험 디자인을 본인이 직접 실험 할 수 있다는 장점,수 많은 회사로부터 수주 받은 시험을 모두 해나가야하는 단점,
352,바이오톡스텍,2022.05.07,2.4,4.0,“경험쌓기 좋고 워라밸이 보장되는 회사”,"비교적 자유로운 연차사용과 워라밸이 보장되는 편
부서나 팀마다 다르겠지만 출산, 육아휴가를 비교적 눈치보지 않고 쓸 수 있어 여성친화적인 기업","자유로운 연차사용에 비해 적은 연차, 반복적인 업무를 하다보니 낮은 성취감",
353,바이오톡스텍,2022.05.05,2.4,1.0,“세상에 이런 최악의 회사는 없다”,"장점을 꼭 써야하는데 정말 쓸 말이 없는게 현실
여성친화기업이라는데 출산 하루전까지 일시키고 실험시키는 대단한 곳","차별 (남녀차별도 있음)
무시 (학사 출신 무시)
낮은 연봉
경영팀 독재정치
그냥 모든게 다 문제임
기대할만한 것도 없고 자존감만 낮아지는 회사",
354,바이오톡스텍,2022.05.03,2.4,1.0,“이게 회사냐”,정말 하나도 없음 아무리 좋게 생각해봐도 하나도 없음..,"다들 자기가 똑똑하고 스마트한줄 앎
팀장급이야 그럴수있지만 되도않는 사람들이 자기가 그런줄아니 밑에 사람들만 고생함
회사의 거의 대부분이 자기 대학때 전공이 아니다보니 전문성이 없음
남의 얘기를 안들으려하며 전공자가 얘기하면 자기 경험얘기해서 대화가 안통함
과장이상급은 자기실적 챙기기 바빠서 자기사람 아니면 같은팀이라도 거들떠도 안봄
꼬투리잡아서 못쉬게 하는걸 자주함",나가야될 사람이 나갈생각을 안하니 차라리 내가 나가는게 빠를거같아서 이직함
355,바이오톡스텍,2022.04.11,2.4,3.0,“초반에는 워라벨이 보장되는줄 알았지”,"교육이 엄청많아서 배울건 많음, 나름 이벤트도있고 벚꽃도 이쁨","사람소중한줄 잘 모름..교육이 너무믾고 시험도 많은데 스케쥴이 항상 중복되어있어 체계가 불확실함
그와중에 실험도 해야하고 야근은 그냥 필수인 느낌.",
356,바이오톡스텍,2022.03.28,2.4,3.0,“워라벨보장”,"워라벨보장이 된다
젊은 조직이다 변화하려 한다(?)
체계적이다","눈치보며 워라벨 보장
젊은 꼰대
맛없는 점심메뉴
더이상 뭐 쓸게 없다",
357,바이오톡스텍,2022.03.12,2.4,3.0,“발전이 없는회사”,예상되는 업무 수준 그리고 일의 반복적이라 크게 어렵지 않음,좁은주차 맛없는 식당 오창 급여 적음 상여금 적음 휴가적음 백신휴가 없음,
358,바이오톡스텍,2022.02.17,2.4,1.0,“사람이 곗ㄱ 나가는 회사”,"셔틀버스 제공 , 맛없지만 사내식당 있음, 주차장 좁지만 있음",급여 차가 심한듯 특정 부서가 유독 급여 높고 나머지는 다 낮음.,
359,바이오톡스텍,2022.02.04,2.4,3.0,“뭐...나쁘지는 않음”,"우리 부서는 아니지만... 1730퇴근하는 곳 있음.
주변 원룸 저렴...","월급이 짜요..
원룸지원비 10만원씩 12개월지원.. (더해주지)",
360,바이오톡스텍,2022.01.31,2.4,2.0,“갈택이어(竭澤而漁)”,"커리어에 도움된다
일을 배우기 좋다
기본 체계는 갖추고 있는회사
최소한의 직원복지","밥이 맛이 없다
일이 많고 사람은 부족
각 부서간의 업무 이해도가 부족
기본 체계만 갖추고 있다
보수적인 문화
최소한의 직원복지",
361,바이오톡스텍,2022.01.14,2.4,2.0,“60퍼가 일안하고 40퍼가 일하는 곳”,"매출이 안정적인 회사
내일채움 됌
2년 경력 쌓으면 웬만하면 이직 잘함
(회사 별명이 직업 사관학교)","회사가 이정도 규모가 되면 시험좀 가려서 받아야 하는데 아무거나 막 받는회사…
시험접수처와 영업팀이 힘이 쎈 회사..와…(진짜 재주는 곰이 구르고 돈은 사람이 번다는 말이 무슨말인지 알게 됌)
복지 혜택이 나라에서 주는 혜택임. 그것도 1년 지나면 끝..
경영진이 혈연 지연이라 사내 문화가 90년대에 머물러 있음-> 그러니까 사람들이 다 나감..3년차 이상이 별로 없음",
362,바이오톡스텍,2021.12.17,2.4,3.0,“워라밸이 보장되는 회사”,"같이 일하는 사람들, 전공적합성을 따라 입사한거라 전문성(커리어) 향상에 도움됨",초봉이 매우 낮아서 첫 2년간 항상 이직을 생각하고 있었음,
363,바이오톡스텍,2021.12.09,2.4,3.0,“워라벨 x 급여x 경영진 c”,"육아휴직있음 초반에 인턴으로 교육만 받으면서
월급루팡","밥 맛없음
겨울에 추움
급여 적음
주말출근
일 많음
고인물 많음",
364,바이오톡스텍,2021.12.07,2.4,5.0,“분위기가 좋은 회사”,"팀 분위기가 좋고, 조직문화도 좋은편, 복지도 좋은편이다.",식당 밥이 맛이 없다. 하지만 식권이랑 급여로 식대를 나눠줘서 이 부분은 좋음,
365,바이오톡스텍,2021.11.08,2.4,4.0,“신입이 일배우기 좋은 회사”,신입이 일 배우기 좋음. 군대문화가 아님. 직원분들이 다 착하심.,연구단지에 있다보니 출퇴근에 어려움이 있을 수 있다는 단점이 있음.,
366,바이오톡스텍,2021.11.03,2.4,3.0,“일배우기 좋은회사”,대부분의 사람들이 젊고 착함. 나름 자유로운 분위기 인 듯,"중관관리자 부족, 다들 빨리빨리 퇴사함. 사람들이 오래 못버팀",
367,바이오톡스텍,2021.11.02,2.4,4.0,“무난한 회사”,텀블러 사용 강요없고 커피제공 이정도 월세지원 통근버스,유니폼항시착용해야함 복지라고 있긴 하지만 누굴위한 복지인지 모르겠음,
368,바이오톡스텍,2021.10.05,2.4,3.0,“워라벨이 보장되나 케바케”,"그래도 나름 워라벨이 보장
신입니 체계적으로 배울수 있은 기회가 있다
GLP 시설이다 보니 나름 쾌적하다","사내문화가 너무 올드하다
경영진들 위주로 돌아간다
연봉인상률이 낮다","승진과 연봉인상은 한번에 될수 없다면서 승진 시 연봉인상이 되지 않았음
연차는 월, 금은 사용하지 말라는 등의 옛날 문화가 맞지 않았음"
369,바이오톡스텍,2021.09.15,2.4,3.0,“신입이 이것저것 많이 배울 수 있는 회사”,"퇴근시간 준수, 사내 분위기 좋음(팀 마다 차이 있음)",업무량이 많음(항상 많다기 보다는 바쁜 시기가 몰려 있음),
370,바이오톡스텍,2021.09.14,2.4,3.0,“신입때 좋은 회사”,"경력쌓기 좋다
내이채움공제
이직에 도움됨
경력쌓기 좋다","밥이 맛없다
주말이 없다
사내분위기 별로
급여적음
야근 많음",
371,바이오톡스텍,2021.09.01,2.4,2.0,“돈적게받고 일을 배울 사람에게 좋음”,"일을 다양하게 많이 할 수 있음
주도적으로 할 수 있음","밥 맛없음
급여가 정말 적음
부서마다 다르지만 꼰대 엄청 많음",
372,바이오톡스텍,2021.08.24,2.4,3.0,“워라벨을위해노력하는회사”,신입 경력쌓기 좋은회사 라고 생각됨 그밖에 복지 노력을함,"단점 밥이 맛이없다, 주말보장어려움 ,뚜벅이힘듬 , 비위",
373,바이오톡스텍,2021.08.22,2.4,3.0,“인력순환이 빠른회사...”,"1.연차 사용 및 휴직이 자유로운편
2. 야근이 많지않음
3. 부서별 업무분장이 확실한편","1. 부서에 따라 분위기 차이 큼.
2. 결재시스템이 구식. 전자 결재 시스템이 최근에야 도입
3. 신입 퇴사율이 높고 인력순환이 빨라 이슈가 많이 발생.",
374,바이오톡스텍,2021.08.21,2.4,2.0,“경영진 제발..”,"사내식당이 존재함..
담당자 따기 전까지는 교육시켜줌..","경영진들 제발 사람탓 하지말고 본인들좀 돌아보길..
야근수당주는것 외 다른 복지랄게 있나요?",
375,바이오톡스텍,2021.08.21,2.4,4.0,“신입이 일배우기 좋은 회사”,"1. 신입이 처음 일배우기 좋은 회사
2. 칼퇴도 가능함","1. 밥이 너무 맛이 없음
2. 주말 출근을 안할수가 없음",
376,바이오톡스텍,2021.08.07,2.4,4.0,“워라벨이 보장되는회사”,"경력쌓기 좋다
중소기업치고 복지가 많은편 중견기업급복지","점심 밥이 맛없다.
직원 휴식공간 및 주차공간 부족하긴함.",
377,바이오톡스텍,2021.08.02,2.4,5.0,“워라벨이 보장되는 회사”,"신입으로 배울것이 많고 워라벨이 보장된다. 부서마다 케바케인듯, 밥 맛있음","가끔 야근할때, 부서간 사람이 힘들수도 있음 하지만 좋은사람들도 많음","더 많은 경험을 쌓기위해서, 더 많은 연봉을 위해서 이직"
378,바이오톡스텍,2021.08.02,2.4,4.0,“워라벨”,무슨일없으면 칼출근에 칼퇴근 가능한 회사 이게 좀좋음 출퇴버스도잇움,급여가 대기업에비해많지는 않은 거지만 동종업계와 비슷하게줌,
379,바이오톡스텍,2021.07.29,2.4,2.0,“신입 일배우기 좋은 직장”,"1. 신입들 일 배우기 좋음
2. CRO 회사중 잘 알려짐","1. 사람 귀한줄 모름
2. 밥맛 없음
3. 복지 없음",
380,바이오톡스텍,2021.07.27,2.4,3.0,“워라벨이 보장되는 회사”,신입들에게는 배우기 좋은 회사라고 생각함.........,음 급여가 조금 상대 기업에 비해 약한거 같고 점심 너무 맛없음 ㅠ,
381,바이오톡스텍,2021.07.22,2.4,1.0,“고인물만 남는회사”,"1.첫 직장으로 다니기괜찮은회사
2.신입으로 들어와서 경력쌓기 좋음","1.밥이 맛이없다
2.주말 보장이 안됨
3.소문이 빠르고 뒷말나옴
4.신입으로왓다가 경력만 쌓고 퇴사함",
382,바이오톡스텍,2021.07.21,2.4,1.0,“경영진이 바뀌지 않으면 언젠간 문제 터짐”,"자유로운 연차, 육아휴직, 임신부 배려, 사내 카페 운영
초반엔 교육만하면서 월급받음 개꿀
앉아서 종이만 보다가 가면 돈 줌","별 말도 안되는 이유로 찍힌 사람이 많고 찍히면 답 없음 은근히 기분상하게 하면서 나가게끔 유도한다.
사람 소중한 줄 모르고 기존의 잘하고 오래된 직원들을 잡지 않음 지금 신입이 넘쳐나며 실수투성이다. 실험 진행마다 난리인데 언젠간 큰 문제 터질듯 하다.
장마때마다 건물에 비가 새고, 겨울에는 건물 안 다리가 언다. 실내지만 실외같은 기분을 느낄 수 있다.
퀄리티 낮고 위생 안좋은 밥을 4천원이나 내고 억지로 먹어야 한다.
선택적으로 연봉을 올려준다. 연봉협상때마다 직원들의 기분을 상하게한다. 인센티브도 차별화가 심하다.
칼퇴하면 눈치준다.
연차가 올라갈 수록 기본급이 내려가고 야근수당이 늘어가는 이상한 체제 야근 안하는디요?",
