시간,회사명,종목코드,공시제목,제출인,기간
2015.03.20,미래SCI,28040,관리종목지정(최근 4사업연도 연속 영업손실 발생 등 2건),코스닥시장본부,2014.09.20
2015.03.23,에스제이케이,80440,관리종목지정(최근 4사업연도 연속 영업손실 발생 등 2건),코스닥시장본부,2014.09.23
2015.03.31,대한그린파워,60900,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2014.09.30
2015.04.15,신라섬유,1000,관리종목지정(주식분산기준미달),코스닥시장본부,2014.10.15
2015.06.19,바른손,18700,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2014.12.19
2015.08.31,THE E&M,89230,관리종목지정(반기보고서 미제출),코스닥시장본부,2015.02.28
2015.12.31,동신건설,25950,관리종목지정(거래실적부진),코스닥시장본부,2015.06.30
2016.03.10,SK컴즈,66270,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2015.09.10
2016.03.14,피에이치씨,57880,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2015.09.14
2016.03.21,제넨바이오,72520,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2015.09.21
2016.03.22,비엔씨컴퍼니,58370,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부,2015.09.22
2016.03.22,엠제이비,74150,관리종목지정(상장폐지사유 발생),코스닥시장본부,2015.09.22
2016.03.22,위메이드맥스,101730,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2015.09.22
2016.04.12,케이엔씨글로벌,68150,관리종목지정(파산신청),코스닥시장본부,2015.10.12
2016.09.19,소리바다,53110,관리종목지정(불성실공시),코스닥시장본부,2016.03.19
2016.11.14,CNT85,56730,관리종목지정(파산신청),코스닥시장본부,2016.05.14
2017.01.18,골드퍼시픽,38530,관리종목지정(파산신청),코스닥시장본부,2016.07.18
2017.03.23,스카이이앤엠,131100,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.23
2017.03.23,디에스앤엘,141020,관리종목지정(최근 4사업연도 연속 영업손실 발생 등),코스닥시장본부,2016.09.23
2017.03.29,아이이,23430,관리종목지정(상장폐지사유 발생),코스닥시장본부,2016.09.29
2017.03.30,씨그널엔터테인먼트그룹,99830,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부,2016.09.30
2017.08.14,C&S자산관리,32040,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2017.02.14
2017.09.22,코드네이처,78940,관리종목지정(불성실공시),코스닥시장본부,2017.03.22
2018.03.19,쌍용정보통신,10280,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2017.09.19
2018.03.21,파티게임즈,194510,관리종목지정(상장폐지 사유 발생),코스닥시장본부,2017.09.21
2018.03.22,넥스지,81970,관리종목지정(상장폐지사유 발생),코스닥시장본부,2017.09.22
2018.03.22,코너스톤네트웍스,33110,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부,2017.09.22
2018.03.22,아이톡시,52770,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2017.09.22
2018.03.22,세영디앤씨,52190,관리종목지정(상장폐지사유 발생 등),코스닥시장본부,2017.09.22
2018.03.27,한솔인티큐브,70590,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2017.09.27
2018.04.02,제이테크놀로지,35480,관리종목지정(사업보고서 미제출),코스닥시장본부,2017.10.02
2018.07.27,씨씨에스,66790,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2018.01.27
2018.08.14,엠피대산,65150,관리종목지정(반기검토 의견거절),코스닥시장본부,2018.02.14
2018.09.21,지유온,111820,관리종목지정(파산신청),코스닥시장본부,2018.03.21
2019.03.08,테라셈,182690,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.08
2019.03.14,티사이언티픽,57680,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.14
2019.03.18,내츄럴엔도텍,168330,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2018.09.18
2019.03.18,KD,44180,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.18
2019.03.19,액션스퀘어,205500,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.19
2019.03.20,베노홀딩스,206400,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.20
2019.03.20,커머스마이너,223310,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.20
2019.03.20,디엑스앤브이엑스,180400,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2018.09.20
2019.03.21,유테크,178780,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부,2018.09.21
2019.03.21,에이트원,230980,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.21
2019.03.28,셀바스AI,108860,관리종목지정(상장폐지사유 발생),코스닥시장본부,2018.09.28
2019.04.01,퓨전,195440,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부,2018.10.01
2019.04.16,한국가구,4590,관리종목지정(주식분산기준미달 ),코스닥시장본부,2018.10.16
2019.07.19,레드로버,60300,관리종목지정(파산신청),코스닥시장본부,2019.01.19
2019.08.14,오파스넷,173130,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2019.02.14
2019.08.14,핸디소프트,220180,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2019.02.14
2019.08.16,넥슨게임즈,225570,관리종목지정(자본잠식률 50% 이상),코스닥시장본부,2019.02.16
2019.08.29,세토피아,222810,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 등 )",코스닥시장본부,2019.02.28
2020.01.15,BNGT,32790,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부,2019.07.15
2020.03.19,코나아이,52400,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2019.09.19
2020.03.19,지더블유바이텍,36180,관리종목지정(상장폐지사유 발생),코스닥시장본부,2019.09.19
2020.03.23,팍스넷,38160,관리종목지정(상장폐지사유 발생 ),코스닥시장본부,2019.09.23
2020.03.23,한국코퍼레이션,50540,관리종목지정(상장폐지사유 발생),코스닥시장본부,2019.09.23
2020.03.23,지스마트글로벌,114570,관리종목지정(상장폐지사유 발생),코스닥시장본부,2019.09.23
2020.06.19,신라젠,215600,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부,2019.12.19
2020.08.14,시큐브,131090,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2020.02.14
2020.08.14,한창바이오텍,43090,관리종목지정(반기보고서 미제출),코스닥시장본부,2020.02.14
2020.08.31,엔지스테크널러지,208860,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부,2020.02.29
2020.10.08,엑스큐어,70300,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부,2020.04.08
