종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
휴메딕스,2020.08.11,3.1,3.0,“무난한 회사”,"안전 추구형 회사
큰 리스크 없이 회사 운영
기업인수 or mou맺음","안전 추구다 보니 신제품 신약 개발이 없음
큰 성장 모멘텀은 없음",
나노엔텍,2022.05.31,3.2,2.0,“워라밸이 보장되는 회사”,"업무강도 높지않음
워라밸 보장
여직원들의 쉼터 특히 공장","연봉 너무 짜다
일하는 사람만 일한다
리더급들의 능력부족",
나노엔텍,2022.09.18,3.2,3.0,“야근없음”,야근 거의 없고 타 부서 사람들 굉장히 친절하다. 회식도 강요 없음,급여가 많이 짜고 복지가 거의 없다. 대표가 정치관련 이메일 자꾸 보냄,
나노엔텍,2022.06.17,3.2,3.0,“장점도 단점도 애매함”,부바부지만 대체로 사람들이 좋음. 쓸데없는 서류업무가 덜 함.,다 그렇겠지만 일하는 사람만 함. 뭐라 하는 분위기가 아니여서 더 심한 느낌.,
나노엔텍,2022.05.12,3.2,3.0,“워라벨 보장 . 분위기 좋음”,사람들간의 사이나 분위기는 좋습니다 . 대부분 칼퇴를 하시고 편한분위기와 복장도 자유로움,복지가 많이 부족합니다. 위치도 역에서 많이 멀어서 출근길이 조금 힘들긴 합니다 . 페이퍼웍이 생각보다 많습니다,
나노엔텍,2022.04.06,3.2,3.0,“워라밸만 보장되는 회사”,빠른퇴근과 적당한 업무난이도 그리고 젊은 인재들이 많다,"꼰대 경영진
낮은임금
적은 복지
불편한 회사위치
낮은 커리어발전가능성",
나노엔텍,2022.01.14,3.2,4.0,“올해 연봉 대폭 상승”,"2022들어와서 사원들 연봉을 대폭 상승시켜줌.
회사 분위기는 원래 평화롭고 조용해서 워라벨 좋은 곳이었고, 오래 다닌 사람들이 많음.
학력높고 아는게 많은 사람들이 많아서 배울 점이 많다.
팀바팀이지만 회식강요없고 대부분의 일을 이해해주는 편.","급여 및 복지가 단점이었는데, 이번에 대폭상승.
복지는 여전히 없긴하지만 적당히 챙겨줄건 다 챙겨줌.
생일 하루휴가 없어짐.
능력없지만 오래다녀서 팀장 달아준 팀도 있긴함.
어느 지하철역에서 와도 15분은 걸어야 하는 거리.",
나노엔텍,2021.12.18,3.2,4.0,“대기업 아니고 중소기업”,다양한 분야의 다양한 사람들과 협업을 해야 한다. 기술자체가 융합적인 것이라 누구 한 명이 전체를 알기 어렵다 그래서 서로 소통하고 이해해야 개발 생산 품질 마케팅 영업 등등 전체 과정이 완성된다. 경험을 쌓기에는 아주 좋은 회사이다. 하지만 워라밸의 공무원 마인드라면 힘든 회사.,SK 자회사로 대기업으로 표시되지만 실제는 중소기업이다. 그래서 여러가지 일을 해야 한다. 이런 이상과 현실의 괴리로 인한 결국에는 연봉 불만을 가지고 퇴사한 직원들이 여기저기 게시판에 화풀이를 하는 경우가 많다.,
나노엔텍,2021.12.13,3.2,5.0,“해외영업 다양한 경험 쌓을수 있는곳”,"수평적 분위기
해외 파트너가 많아서 해외영업 업무 경험 많이 쌓을수 있음
퇴사후 재입사자가 많은곳
20-30 세대가 많은곳","타회사와 비교해보면 무난.
이해가 어려운 사람들이 있는데 그건 다른곳도 마찬가지.",
나노엔텍,2021.12.10,3.2,2.0,“경쟁업체 대비 상대적으로 후퇴중”,연령대가 젊다 2030이 많고 팀장급도 3040대가 대부분인거 같다,"경쟁업체는 코로나 수혜받고 날아가는데 여기는 제자리다 매출도 연봉도 그냥 그대로다
인사관리가 안돼서 퇴사자가 너무 많고 회사 분위기가 뒤숭숭하다
경영진은 왜 퇴사하는지 관심이 없고 리뷰올라오면 전체메일로 리뷰를 비난하기 바쁘다",
나노엔텍,2021.11.29,3.2,5.0,“회사 분위기 좋은 회사”,"으쌰으싸하는 분위기로 꾸준히 성장하고 있습니다.
직원들이 다들 좋습니다.","연봉이 좀 적은편인거 같습니다.
그 외에, 단점은 크게 없는거 같습니다.",
나노엔텍,2021.11.28,3.2,4.0,“워라벨은 괜찮”,"주말에 업무안함, 어쨋건 9 to 6, 영업이랑 개발쪽은 본사랑 층이 달라서 비교적 자유로움","업무용 메신저 카톡, 바이오쪽인데 성장성은 애매함, 복지도 떨어지고 그마저도 직원들이랑 나누길 바람",
나노엔텍,2021.11.20,3.2,3.0,“적은 연봉과 좋은 워라밸”,딱딱하지 않은 분위기에서 일할 수 있고 사람들이 좋다.,"연봉이 적은데, 어떻게든 더 안주려고 하는게 느껴진다.",
나노엔텍,2021.11.16,3.2,3.0,“부서바이부서 사내정치 심함”,부서바이부서지만 개인 역량 키우기엔 꽤 도움이 되었음.,"복지가 없고 연봉도 낮고,, 꼰대 많고,, 정치질 심하고",
나노엔텍,2021.11.16,3.2,4.0,“안정적인 회사”,"자유롭고 일하기 좋은 회사. 좋은 사람들도 많음.
기술력있는 제품이 많고 기술지원도 많은편",별로없음. 다녀보면 알겠지만 큰 단점은 없음. 무난합니다.,
나노엔텍,2021.10.26,3.2,5.0,“열심히 한 만큼 보상받는 회사”,"연구 개발에 대한 투자가 좋고 활발함
기숙사 및 통근버스","업무 난이도가 높음.
공장과 본사의 거리가 멀다.
무난함",
나노엔텍,2021.10.16,3.2,4.0,“역량개발의 기회가 많은 곳”,"하고자 하는 사람들에게 기회를 많이 줌
기술력이 좋다
사람들이 대체로 좋다","연봉이 낮다
야근을 원하는 경영진의 분위기가 있다
소문이 빠르고 뒷말이 많음",
나노엔텍,2021.10.11,3.2,2.0,“꼰대문화와 스타트업이 섞인 짬뽕 같은 회사”,동료들이 젊고 협조적인 느낌. 재무가 안정되었다. SK 계열사.,복지는 없음. 식대 지원 x 공장은 줌. 연봉낮음. 어디나 마찬가지지만 고인물들의 정치질 시대착오적인 꼰대질. 독단적인 대표와 쓴소리 못하고 예스맨인 임원들과 팀장들. 폭탄돌리기 및 책임 전가의 달인들이 많음.,
나노엔텍,2021.10.08,3.2,1.0,“원수가 간다면 네임밸류는 있으니 적극 추천하겠다.”,"뭐있지...30자를 채울만한게 없어요.
아 젊은 사람들이 많습니다. 그건 장점인 듯.
기술력은 좋고 네임밸류도 있고.
그 외에는 진짜 아무 것도 없음....","블랙기업의 표본 그 자체. 떠올릴 수 있는 모든게 여기 있습니다. 돈만 제 때 잘 줄 뿐.
사내메신저없어서 카톡씀ㅋㅋㅋㅋ
영업실적은 영업의 실적으로 인정받지 못 함.
퇴사하는 직원에게 손해니 무단퇴사니 협박질하는데 그게 협박인지도 몰라 함. 저러다 한번 고소당해야 정신차리지 않을까 싶음. 그만큼 생각이 오래된 옛분들이 앉아있다는 뜻임. 그리고 대화를 하면 느낄 수 있는게 바꿀생각 단 1도 없어 보임.
SK의 계열사지만 무늬만이고 중소기업이라는 것을 몸소 느낄 수 있음.
잡플래닛 항상 모니터링하면서도 왜 그런 글이 써있는지 이해 못해 하고 그걸 개선하고자하지도 않음.
뒷말 진짜 많으니 입 조심해야 함.
가스라이팅 많이 하니 참고 하고, 완전 극보수 회사임. 사상강요함.

한마디로 얘기하면 그냥...어쨋든 회사의 미래가 안보임...기술력은 좋다고 생각은 그 뿐이라고 많이 느꼈음.",
나노엔텍,2021.09.25,3.2,3.0,“워라밸 보장”,좋은 직원들 좋은 사람들. 생일반차 준다. 위치가 서울이다. 문제가 생겨도 그에 대해 큰 책임은 지지 않음,연봉.. 짜고 식대 짜고.. 뭔가 핵심 기술이 좀 뒤떨어진다,더 큰 회사를 가고 싶어서 나오게 되었다. 회사 규모가 아무래도 작다
나노엔텍,2021.09.19,3.2,3.0,“나쁘지는않고 엄청좋지도않은”,진입장벽높은 아이템과 독보적인 기술력 그리고 좋은 사람들이 많은듯,회사가 눈에띄는 발전을 못해 제자리걸음만 하는 느낌. 그래서 성과급 혹은 연봉이...,
나노엔텍,2021.09.16,3.2,5.0,“개인 능력 발휘 할수 있는곳...”,"다양한 국가와 딜러들을 통해 의료기/생명과학 제품의 트랜드를 경험할수 있고, 하고자 하는 열심을 보여주면 인정해주고 기회가 제공되는 젊은회사.","본사는 점심 제공안됨.
연봉은 개선이 필요함.
부서별로 커뮤니케이션 부족.",
나노엔텍,2021.09.15,3.2,4.0,“자유와 경쟁..결국은 자기 하기 나름.”,"파레토의 법칙처럼 결국 할 사람은 하고 안할 사람은 핑계를 댄다.
남 탓하기 전에 자기의 능력을 재고해 보아야 한다.
위기와 기회는 항상 같이 오며 High risk high return.
남의 떡이 커보이고 여우는 신포도라고 이야기 한다.","2015년 합병이후 사내 정치와 모략이 극에 달한적이 있었다.
원천 기술자체가 어려워서 신입 직원들이 적응하기가 어렵다.
수출 위주의 영업으로 성과를 내려면 시간이 오래 걸린다.
영어를 못하면 업무에 한계가 존재한다.",
나노엔텍,2021.09.15,3.2,5.0,“커리어를 쌓기 용이한 회사”,성격좋은 직원들과 명랑한 사내분위기로 인해 회사적응하는데 도움이 됨,아직까지 크게 단점이 보이진 않음..사내 소문이 좀 빠른듯,
나노엔텍,2021.08.25,3.2,3.0,“워라밸 가능”,"연차 사용 자유롭고 눈치안보임
칼퇴 가능 대기업
건물에 카페 많음","연봉인상률 낮음 복지 없음
승진이 빨리 되는편이나 책임감만 가중되고 급여인상 등 그 외 혜택 없음",
나노엔텍,2021.08.16,3.2,4.0,“배울 점이 많은 회사”,"자유로운 연차 가능
좋은 동료들
다수의 일 경험 가능함","낮은 연봉
애매한 회사 위치
공장과의 거리
이해가 힘든 사람들 존재",
나노엔텍,2021.07.21,3.2,3.0,“좋은 회사로 발전하고 싶다며 직원에게 생색 내는 회사 ”,워라벨은 챙길 수 있고 연차 사용이 비교적 자유로운 듯함 (누구 밑에서 일하냐에 따라 눈치를 엄청 봐야할수도..),"임원이 무능력하고 구구주먹식 일처리에 매번 놀라움. 말로는 발전하는 회사가 되겠다고 이것저것 하는 척 하지만 바뀔 의지는 아예 없고 그냥 가만히라도 있었으면 좋겠음. 가십, 뒷담화 정치질 등에 굉장히 최적화되어있음.",
나노엔텍,2021.07.14,3.2,2.0,“월급/워라밸/성장성 모두 애매한 회사”,"회사 내 대인관계에서 오는 스트레스가 없음. 경력직이건 신입이건 완만하게 협력하며 일함.
회사 설명하기 귀찮을때 sk 계열사라 하면 됨.
기술력이 희소 가치가 있음.
워라밸은 본인이 회사 업무를 어떻게 대하냐에 따라 다름.","Sk계열사라고 생각하고 입사하면 실망하게 됨.
근본은 중소기업이며, 의료기기 업계 자체 급여가 짠데 나노엔텍은 더 짠 수준.
경영진 마인드로 인해 성장이 더딜 것으로 보임.",
나노엔텍,2021.07.08,3.2,1.0,“HR 재정비가 시급한 곳 ”,연차 사용이 비교적 자유로우며 좋은 동료가 비교적 많습니다.,ㄷㅍ가 직원에게 성적으로 불쾌감을 줄 수 있는 발언을 서슴지 않고 함.,
나노엔텍,2021.06.30,3.2,5.0,“워라벨이 보장되는 회사”,워라벨이 보장되는 회사라서 매우 만족하고 다니고 있습니다.,지하철역에서 거리가 꽤 있어서 출퇴근시 불편하게 느끼고 있습니다.,
나노엔텍,2021.06.15,3.2,2.0,“ㄷㅍ 의해서 위기를 탈출했으나 ㄷㅍ에 의해서 망할 회사”,"경영진 제외 대부분의 사람이 좋음

다들 일을 열심히 함","ㄷㅍ 및 경영진들의 한마디 한마디에 의욕이 떨어지고 퇴사욕구가 넘침

연봉 업계 최저 인상률도 최저",
나노엔텍,2021.06.01,3.2,3.0,“great work and life balance”,"동료 유하고 워라밸 좋아요
거의 매일 칼퇴해도 아무도 신경안씀","ㄷㅍ가 본인 사상 직원들에게 강요하는 느낌 받음
정치색 드러냄",
나노엔텍,2021.05.20,3.2,3.0,“급여 포기하고 워라벨 택하는 회사”,"야근 없음, 칼퇴가능, 생일 반차 사용, 생일상품권 5만원 지급, 야근수당 30분 단위 청구가능, 평온한 분위기","위 장점빼고 끝. 복지 없음, 연봉인상 없다시피, 경영진 및 윗사람들 저녁 1시간30~2시간 먹음, 그리고 야근수당 받는듯, 급여가 업계에 비해 매우 낮음.
성장 가능성 불투명.",
나노엔텍,2021.04.20,3.2,3.0,“월급을 포기하고 워라밸을 얻는 회사”,워라밸이 좋다. 개발쪽은 좀 바쁘긴 하지만 그 외 부서는 거의 정시 칼퇴다.,낮은 연봉 상승과 시작부터 너무 낮았던 초봉... 아무것도 없는 복지,
나노엔텍,2021.04.11,3.2,2.0,“경영진부터 개선되어야 발전할 회사”,"동기들과 친해지면 좋은 회사
월급은 적지만 그나마 워라벨이 좀 있는회사
여러 팀에 열심히 일하는 사람들이 많고 야근 수당 주는 회사
직원과 가족까지 건강검진 지원","뚜렷한 회사의 가치관이 없음
가족회사 같은 느낌 (이상하고 야한 농담하는 경영진 많음)
경영진이 딱히 결정도 잘 못함
경영진이 사업의 방향을 모르고 모든걸 사원이 채워주길 바람
책임은 사원이 지는 이상한 행태
야근 안하면 일 안한다 생각함
꼰대 주의
효율 극대화를 위해 개선하려는 노력 없음
회의를 위해 회의를 함
일의 중요도를 강조하지만 정작 아무도 일의 중요도를 결정해주지 않음
그냥 경영진 관심사가 중요도 높은 일임",
나노엔텍,2021.04.06,3.2,4.0,“눈치 안본다면 워라밸 나쁘지 않은 회사”,"부서 사람들이 좋았다.
대체적으로 사람들 분위기는 좋다.
부바부겠지만, 지금까지 겪은 회사중에 사람들은 제일 좋았다.
사회 초년생이 한번쯤 경험해보기는 좋다.","연봉이 너무 낮고, 연봉 동결 나는 경우도 있다.
복지라고 할 만한게 없어서 아쉽다.","학업 및 이직 준비
개인적인 필요로 이직
퇴사했다가 다시 온 분도 계심"
나노엔텍,2021.03.27,3.2,2.0,“경험없는 스타트업 같은 회사”,skt계열사라는 것 이외엔 특별한 장점이 없는 중소기업임,"SKT와 무관한 회사고 그냥 SKT가 대주주인 회사
임원진들이 무능력해서 사원들에게 전략을 요구하는
이상한 회사,방향을 못잡음.",
나노엔텍,2021.03.15,3.2,3.0,“워라벨 보장 그러나 연봉이....”,사람들이 좋다. 워라벨 가능하다. 업무강도 세지 않다.,적은 연봉과 복지가 없다. 서울 근무라도 공장으로 출근이 잦다.,
이녹스,2022.04.26,3.0,5.0,“팀바이팀이지만 일배우긴 좋음”,"구성원이 젊어서 분위기가 밝습니다.
일배우기 좋아요 연봉 굳","문서를 위한 업무가 있음.
현장직원이 연구개발직군을 적으로 보는 느낌...",
이녹스,2020.10.23,3.0,3.0,"“홀딩스로 소수, 워라벨 좋음, 커리어 못 챙김”","홀딩스라 소수임, 워라벨이 좋고, 경영진 좋음, 대다수가 인성 좋음, 연봉은 다소 적음? 대졸초봉4.0 사람인참조, 대략 직급 승진당 0.5 정도? 사원 주임 대리 과장 차장 부장인데 연봉은 케바케일 수 있고 뇌피셜임, 회식문화 좋음, 인간적인 정이 있기도 하고 개인플레이도 공존함 , 쓰다보니 좋은 회사임","제조업 특유의 여자 유리천장 있음, 소수라서 대다수 과장이상, 일상적인 업무 반복, 커리어 쌓기 한계있음, 다들 경험 있는 돌아이 불변 법칙은 유효함, 업무 로테이션 없음, 지주사지만 종속회사 보다 대우가 안좋음, 이유는 순수 지주회사라 종속회사한테 돈 받아쓰는 구조임 그래서 업무 루틴함, 판교이나 역에서 멀리 위치함, 쓰다보니 장점 대비 단점도 많음",
이녹스,2020.10.04,3.0,1.0,“현대사회에서 조선시대 노비를 경험할 수 있음”,대졸 신입기준 초봉만 높다. 회사가 깨끗하고 밥이 맛있다.,"장점 외의 모든 것이 단점. 워라밸 없음, 급여상승률 낮음, 고인물 많음, 사람을 부품으로 취급, 경영진과 인사팀이 직원을 어떻게 바라보고 있는가가 느껴질 정도.",단점의 모든 사유로 인해 떠남. 특히 사람을 아주 부품으로 보고 팀장급 라인의 능력치가 너무나도 낮음에도 고집만 쎄다.
조아제약,2022.09.15,2.4,1.0,“그냥 물음표에 헛웃음”,약 성분은 괜찮아서 주위사람이나 본인이 복용하면 좋다 이정도?,"다 얘기하면 3박 4일로도 모자름
영업소마다 다르지만 내 위주로 씀

1. 연차 눈치 겁나 받음 - 쉬는날에도 전화와서 실적하라고 닥달함. 쉬고오면 왜 안했냐고 면박줌
반차쓰고 병원같은데 가는데도 학교도 아니고 진료확인서 받아오라함.

2. 10시 출근 7시퇴근인데 입사 후 단한번도 지켜진 적이 없음. 그냥 맘에 안들면 출근 퇴근시간 정해줌

3. 회식 겁나 강요 - 회식 참석 안하면 업무지시불이행이라면서 사직서 쓰라함

4. 회의라는 명목하에 면전에서 욕하고 일으켜세우고 한대 치고 싶을 정도의 인격 모독이 일상임

5. 약국에서의 이미지는 예전의 누군가의 행동으로 영업사원들의 이미지가 쓰레기임

6. 쓸데없는 진상짓을 많이 시킴 - 약국 가면 다른 회사 직원들, 약국직원들, 약사들이 보고 어이없어서 웃을 정도의 짓들 그걸 업무지시라 말함

얘기할게 너무 많은데 이정도로 하겠음.
스트레스 받아서 머리빠지고 짜증나고 싶으면 입사하셈",
조아제약,2022.09.13,2.4,1.0,“10년후에도 존재할 지 궁금해지는 회사”,"멘탈이 강해짐
웬만한 어려운 시련에 직면해도
꿈쩍 안할수 있는 멘탈을 길러줄 수 있는 회사","너무 많아서 나열하기 힘듬
대표적으로 영업담당자가 회사의 봉이다
이리 치이고 저리 치이고
본사 직원들은 업무지시하면
필드 담당자들은 밤 8시, 9시까지 지시에 따르기만 하면됨.",
조아제약,2022.07.13,2.4,3.0,“워라밸보장되는회사”,"워라밸보장되는회사입니다.
야근하는팀극히드물며,점심시간회사근처맛집","미래성 또는 발전성이 없는 경영방침, 고인물 투성 의견을 주장하기 힘든 분위기.",
조아제약,2022.05.04,2.4,2.0,“어느 제약영업이 같듯 자기일만 잘하면됨”,워라벨은 자기일만하면 되니까 생각보다 자기시간이 많이 남습니다.,인터넷 판매때문에 반품이 엄청나서 약국과 사이가 그렇게 좋지 못할수도 있지만 하기나름입니다.,
조아제약,2022.04.28,2.4,1.0,"“지옥, 불구덩이, inferno”","뭘 쓰낀해야하는데 진짜 없네; 생지옥을 경험 할 수 있어서 내면이 단단해 짐?
잘하면 이직 잘되는거 같긴함","약 성분, 효능의 정체
인터넷판매 못잡음 (타사도 그렇지만 우리는 건기식이 주력제품이 많음)
본사의 횡포(이게 진짜 가장 짜증남, 영업의 ㅇ도 모르는 사람들이 영업부를 쥐락펴락함)
본서의 무능함. 진짜 능력이 없어도 너무 없음
제품가격이 비쌈. 판매 정책도 너무 구림
월급 너무 적음
영업부 연차 못씀(본사가 누리는 연차관련 복지혜택은 아무것도 못누림)
군대식문화
하.. 더 쓰고 싶은데 너무 많네요",
조아제약,2022.04.28,2.4,2.0,“워라벨만 보장되는 회사”,"칼출 칼퇴 가능하며, 과하지 않은 업무 강도, 자기 일만 잘처리하면 문제 없는","장기근속자만 많고 실무자들은 퇴사하고 있는 상황
경영인들이 회사에 관심이 없고
방향성 및 목표 설정 및 추진력 제로",
조아제약,2022.04.28,2.4,1.0,“아직까지 일마감에 허덕이는 회사”,그나마 일비가 조금 오른것...그외에는 도저히 장점이없는거같은데,장점 외 모든것들... 사무실 매일출근이 말이되냐... 일마감쳐야되고...안되면 날려야되고 날리다보면 퇴사하고,
조아제약,2022.04.22,2.4,1.0,“아직까지 일마감 하는회사”,없음. 일비가 좀 나옴. 이것도 작년에 오른건데 그거 말고 진짜 없음,장점빼고전부. 인터넷판매 하나도 못막아서 실적 박살나는중,
조아제약,2022.03.29,2.4,4.0,“워라밸 보장”,"안정적인 근무, 자유로운 연차 사용, 연차비 보상, 칼퇴근","회사 비전 없음, 연구개발 신약개발 없음, 나태한 분위기",
조아제약,2022.03.21,2.4,1.0,“힘들어도 너무 힘든 곳”,"장점은 없음.
커리어 쌓기는 좋음 이걸로 다른 제약회사 지원 노려봄","야근, 매출, 제품력 떨어짐, 연차 못씀, 영업부는 어떠한 복지도 없음.",
조아제약,2022.03.18,2.4,2.0,“놀기좋은곳”,"적당히 눈치보면서 월급받기 딱좋음
임원들이 놀아서 편함-쪼이는게 없음
8시59분출근 6시정각 퇴근","월급이 너무 적당히 나옴
연봉체계 1도없음
임원들의 무능함",
조아제약,2022.03.18,2.4,2.0,“더 이상 떨어질 곳도 없는 회사”,"있어야 쓰지. 그나마 공무원처럼 칼퇴가능?
회사 법카로 술먹는 직원들은 공짜 술 먹을 수 있음","2년 연속 연봉동결
연봉테이블의 기준도 모르는 임원이 연봉 계약하고 있음
심지어 연봉 인상률도 질못기재해서 연봉계약서 들이밈
경영악화인 상황임에도 불구하고 임원들이나 경영진은 돌파구를 찾고자 노력따위를 안함 + 이래서 가족경영도 사업을 하는 역량을 갖춘 사람이여야 함

정작 매출을 외치면서 임원+경영진들은 각 부서 팀들이 어떠한 업무와 사업을 하는지에 대해서 공부자체를 안함
이러니 회사가 떨어지고 있는 겁니다.",
조아제약,2022.02.14,2.4,3.0,“경력 쌓아서 이직하세요 욕심없이 다니기 무난”,"워라벨이 좋아서 6시면 거의 대부분 다 퇴근한다고 보면 됨. 정기상여, 명절 상여 있어서 좋음",위에서 술을 강요하는 문화가 있음. 팀장과 임원들의 무능력함. 일하는 부서만 일하고 노는 부서는 유뷰트만 보다가 퇴근 함,
조아제약,2022.02.09,2.4,1.0,“워라벨만 보장되는 회사”,"놀면서 돈벌기 가능
일 자체가 별로 없고
생각없이 다닐 수 있음","그래서 돈을 얼마 안줍니다
연봉 인상 최근 단 한번도 없었음
커리어 그런거 없음",
조아제약,2022.01.26,2.4,3.0,“직원들은 정말 좋은 회사”,"사람들은 좋습니다
중소기업인 만큼 내가 이건 배워간다고 생각하고 일하면 배울거 많습니다","중소..급여..
고인물도 많고
이게 이렇게 된다고?
가 많은 회사..으휴",
조아제약,2021.12.20,2.4,3.0,"“복지는 괜찮으나, 경영 및 기타 개선이 굉장히 필요”","급여도 평균 이상, 기타 복지고 중소기업 치고는 굉장히 만족스럽다",경영진의 확고한 의지가 전달이 잘안된다 임원들의 개선 의지 및 발전 의지가 전무한것 같음,
조아제약,2021.12.15,2.4,2.0,“변화를 싫어하는 회사”,"워라벨은 인정
대부분 직원이 친절하며, 복지가 좋습니다","임원이 거의 공무원급임, 일 못해도 안짤림,
안짤리니 개선하려는 의지가 없음, 의지가 없으니 무능력해짐",
조아제약,2021.12.09,2.4,3.0,“적당히 나쁘지 않은 회사”,"심한 압박없이 다닐수있는회사, 워라벨은 보장할 수있다고 생각한","경영진들의 썩은 마인드, 매출이 줄고있음에도 불구하고 해결하려고 적극적으로 나서지 않음",
조아제약,2021.11.23,2.4,3.0,“미래가 걱정되는 회사”,"복지가 괜찮음
근속년수가 높은 사람이 많은 편임……..","미래가 안보임
부서마다 일의 강도가 다름
여자가 다니기 좋은 회사였으나 경영악화로 그마저도 위협 받음",
조아제약,2021.11.12,2.4,3.0,“일반 otc”,제때나오는 급여 자유로운 업무진행 휼로서기 힘들게 배워서 내 삶 자체에 도움이됨,출퇴근시간이.정해져있는데 그 안에 모든일을 다 못함 빨리출근해야함,
조아제약,2021.11.01,2.4,4.0,“워라벨 보장. 워킹맘들이 다니기 좋은회사. 10년 15년 이상 근속자가 많은 회사”,"눈치보지 않고 퇴근 및 연차사용.
워라벨. 여성은 육아휴직 및 복직 자유로움. 미취학아동 부모 단축근무.
제약회사라는 이미지.","경영진들의 라떼식 경영. 복장 지적.
규모대비 많은 이사와 부장, 차장.. 늦은 진급",
조아제약,2021.10.22,2.4,2.0,“눈치보기 바쁜회사”,"중견이지만 복지는 나름 괜찮음
(본사에 한함)
공장도 나름 괜찮다고 함","낮은 기본급 받기 힘든 인센구조
영업부가 본사 눈치 엄청 보면서 일함",
조아제약,2021.08.13,2.4,2.0,“답이없음”,"칼퇴보장되는 회사
눈치안보며 연차쓰는 회사
아무생각없이 다닐만한 회사","꼰대문화
발전없는 경영진/임원
제품개발기획력 바닥
미래가 안보이는 회사
개인의 역량 개발/발전 불가",
조아제약,2021.06.11,2.4,3.0,“팀마다 워라밸이 좀 다름”,"단축근무할때 개 좋았음
그만둔다 하면 다들 잡음
야근이 거의 없음","일이 많아지고 나한테 모든 일이 쏠릴 때 힘듦
다들 일을 하려고 하지 않음",
조아제약,2021.06.10,2.4,3.0,“다 좋은데 고인물 투성”,워라밸 좋고 급여도 동종업계에 비해 높습니다 출퇴근 시간 및 복지 좋은편,고인물이 너무 많고 꼰대도 본인이 꼰대인줄 모르고 생활하는 사람이 많아서 못버팀,
조아제약,2021.06.02,2.4,3.0,“일배우기좋은회사”,영업배우는 기초를 다지기는 너무 좋은 회사인것같음. 기초를 탄탄하게 다지기 좋음,"강도가 팀바이팀 이지만 일마감을 해야되는 단점
매출할인 없음 가격할인 없음 수량별도 없음
요즘은 인터넷 판매로 더더욱 어려워 지고 있음",
조아제약,2021.03.26,2.4,4.0,“워라밸이 보장되고 인간적인 회사”,"직원을 도구로 보지않고 조기출근, 야근 거의 없습니다. 6시 10분되면 사무실 텅 빕니다.",메이저에 비해 연봉이 500~1000만원정도 적다고 보면되고 성과급 없음,
조아제약,2021.02.17,2.4,4.0,“워라밸 보장되는회사 ”,"회사에 좋은분들이 많음
자기일 잘끝내면 칼퇴가능 워라밸","업무가 체계적이지 않음
앞으로 발전가능성이 있을지 의문
물경력",
조아제약,2021.02.01,2.4,2.0,“약국영업을 하고 싶은 분들은 첫직장으로 추천 드립니다”,"모든 otc가 업무 강도가 높겠지만 여긴 진짜 높음
신입들이 버티기 힘든 구조라 신입 퇴사율 매우 높음
하지만 2~3년 버티고 메이져 경력으로 가면 일은 쉬울듯","거리처랑 암만 친하고 유대가 좋아도 결국엔 약가 따지는 경우가 많은데 단가 맞춰 주기 힘듬
왜냐하면 법카도 없고 예산도 없고 구간별 단가 할인도 없고 영업사원에게 주어지는 건 딱 일비뿐
제품 디테일하고 매출 하기 위한 부수적인 금전적 지출은 다 담당자 주머니에서 나간다고 보면 됨",
씨아이에스,2022.07.14,4.1,3.0,“누가봐도 성장할 회사”,"업계에선 알아주는 회사 특히 대구경북에서
성장가능성있음","워라벨 X 부서마다 상이
구시대적 업무시스템
단조로운 식당 메뉴",
씨아이에스,2022.09.12,4.1,4.0,“부밥부 워라밸”,"대구권에서 괜찮은 급여?
성장하는게 눈에 보임
앞아로도 빠르게 성장할듯","비협조적인 부서협조
특정부서가 유독 심하게 느껴지는 이유는...?",
씨아이에스,2022.09.06,4.1,5.0,"“성장하는 회사, 성장이 보이는 회사”","부서별로 상이하지만 워라벨이 보장됨
성장률이 어마어마한 회사
사회적 성장률도 높음
대구에서 높은 기준의 연봉","단기간의 급등 성장률로 체계가 확실하게 안잡혀있음
젊은꼰대가 가끔있음[큰 단점이라고봄]",
씨아이에스,2022.08.03,4.1,5.0,“승승장구 지방급여 상위권 바쁜부서만 죽어남”,"2차전지 상승에 맞게 지방기업치고 급여 및 상여 높음.
직원 대규모로 늘어가서 젊은 분위기 남",부서별 업무강도 차이 너무 남.. 물론 수당은 나오지만.. 해외출장 잦은 부서 걸리면.. 한국 못옴 거의 ㄷㄷ,
씨아이에스,2022.07.17,4.1,4.0,“성장가능성”,"성장가능성
밥 맛잇음
미래가 유망한 직종
해외 자주갈수잇음","꼰대 한명씩 있음
체계가 없음
해외를 너무 자주감
일 찾아서함",
씨아이에스,2022.07.03,4.1,5.0,“당분간은 바쁘고 커지고 있는게 보이는 회사”,"대구내에서 괜찮은 급여, 휴가 기본적인 일정만 맞추면 눈치 x 반차 반반차 자유롭게 사용, 점심저녁 제공","근무시간에 대한 꼰대적인 문화가 있음, 해외출장 잦음, 인원많이 뽑고있지만 아직 로테이션 인원부족",
씨아이에스,2022.06.26,4.1,4.0,“중소기업에서는 강세.괜찮은 회사”,기업 성과를 직원에게 골고루 배분 돌려준다. 시장상황이 호경기라 불황은 앞으로도 한동안 없을 곳,커가는 회사다 보니 내부 규정 규율 직원들에 대한 안내등은 조금은 부족한 부분이 있음.,
